code,interlevel,location,original,
12809005,Bgy,Baresbes,TRUE,
12809006,Bgy,Barong,TRUE,
12809007,Bgy,Bungcag,TRUE,
12809009,Bgy,Cali,TRUE,
12809010,Bgy,Capasan,TRUE,
12809011,Bgy,Dancel (Pob.),FALSE,
12809011,Bgy,Dancel,TRUE,
12809012,Bgy,Foz,TRUE,
12809013,Bgy,Guerrero (Pob.),FALSE,
12809013,Bgy,Guerrero,TRUE,
12809014,Bgy,Lanas,TRUE,
12809015,Bgy,Lumbad,TRUE,
12809016,Bgy,Madamba,TRUE,
12809016,Bgy,Madamba (Pob.),FALSE,
12809017,Bgy,Mandaloque,TRUE,
12809018,Bgy,Medina,TRUE,
12809019,Bgy,Naglayaan,TRUE,
12809019,Bgy,Ver,TRUE,
12809019,Bgy,Ver (Naglayaan),TRUE,
12809020,Bgy,San Marcelino,TRUE,
12809020,Bgy,Padong,TRUE,
12809020,Bgy,San Marcelino (Padong),TRUE,
12809021,Bgy,Puruganan (Pob.),FALSE,
12809021,Bgy,Puruganan,TRUE,
12809022,Bgy,Peralta (Pob.),FALSE,
12809022,Bgy,Peralta,TRUE,
12809023,Bgy,Root,TRUE,
12809023,Bgy,Baldias,TRUE,
12809023,Bgy,Root (Baldias),TRUE,
12809024,Bgy,Sagpatan,TRUE,
12809025,Bgy,Saludares,TRUE,
12809026,Bgy,San Esteban,TRUE,
12809027,Bgy,Espiritu,TRUE,
12809028,Bgy,Sulquiano,TRUE,
12809028,Bgy,Sidiran,TRUE,
12809028,Bgy,Sulquiano (Sidiran),TRUE,
12809029,Bgy,San Francisco,TRUE,
12809029,Bgy,Surrate,TRUE,
12809029,Bgy,San Francisco (Surrate),TRUE,
12809030,Bgy,Suyo,TRUE,
12809031,Bgy,San Marcos,TRUE,
12809032,Bgy,Elizabeth,TRUE,
12810000,Mun,DUMALNEG,TRUE,
12810001,Bgy,Cabaritan,TRUE,
12810001,Bgy,Cabaritan (Dumalneg),TRUE,
12810002,Bgy,San Isidro,TRUE,
12810003,Bgy,Kalaw,TRUE,
12810003,Bgy,Kalaw (Dumalneg),TRUE,
12810004,Bgy,Quibel,TRUE,
12810004,Bgy,Quibel (Dumalneg),TRUE,
12811000,Mun,BANNA (ESPIRITU),TRUE,
12811000,Mun,ESPIRITU,FALSE,
12811000,Mun,BANNA,FALSE,
12811001,Bgy,Balioeg,TRUE,
12811002,Bgy,Bangsar,TRUE,
12811003,Bgy,Barbarangay,TRUE,
12811004,Bgy,Bomitog,TRUE,
12811005,Bgy,Bugasi,TRUE,
12811006,Bgy,Caestebanan,TRUE,
12811008,Bgy,Caribquib,TRUE,
12811009,Bgy,Catagtaguen,TRUE,
12811011,Bgy,Crispina,TRUE,
12811012,Bgy,Hilario,TRUE,
12811012,Bgy,Hilario (Pob.),FALSE,
12811013,Bgy,Imelda,TRUE,
12811014,Bgy,Lorenzo,TRUE,
12811014,Bgy,Lorenzo (Pob.),FALSE,
